geo,count,domain
Atlanta (1678),8500000.0,Artificial Intelligence
Austin (1680),5271000.0,Artificial Intelligence
Boston (1687),2300000.0,Artificial Intelligence
Chicago (1694),12000000.0,Artificial Intelligence
Gaoxiong (612),443485.0,Artificial Intelligence
Hefei (302),519522.0,Artificial Intelligence
Herat (NA) (NA),1440879.0,Artificial Intelligence
Mission Viejo (1750),30000000.0,Artificial Intelligence
New York (1758),13225000.0,Artificial Intelligence
San Jose (1786),14790000.0,Artificial Intelligence
Santa Clarita (1787),9900000.0,Artificial Intelligence
Seattle (1792),6000000.0,Artificial Intelligence
Singapore (1490),4000000.0,Artificial Intelligence
Taipei (614),1000.0,Artificial Intelligence
Tel Aviv-Jaffa (1025),2000000.0,Artificial Intelligence
Tokyo (1088),113578.0,Artificial Intelligence
Trenton (1804),5000.0,Artificial Intelligence
