geo,count,domain
Atlanta (1678),10050000.0,Artificial Intelligence
Boston (1687),19600000.0,Artificial Intelligence
Chicago (1694),2450000.0,Artificial Intelligence
Edmonton (162),31885767.0,Artificial Intelligence
Gaoxiong (612),3242014.0,Artificial Intelligence
Hefei (302),2054410.0,Artificial Intelligence
Herat (NA) (NA),94761.0,Artificial Intelligence
London (1649),1501283.0,Artificial Intelligence
Miami (1747),15600000.0,Artificial Intelligence
Mission Viejo (1750),22000000.0,Artificial Intelligence
New York (1758),22000000.0,Artificial Intelligence
Paris (715),6637289.0,Artificial Intelligence
Prague (650),12000000.0,Artificial Intelligence
Reading (1655),8000000.0,Artificial Intelligence
Sacramento (1781),13000000.0,Artificial Intelligence
San Jose (1786),138250000.0,Artificial Intelligence
Santiago (183),6000000.0,Artificial Intelligence
Seattle (1792),1120000.0,Artificial Intelligence
Toronto (173),50000000.0,Artificial Intelligence
"Washington, D.C. (1810)",5000000.0,Artificial Intelligence
Wellington (1228),8400000.0,Artificial Intelligence
