region,scope,metric,top,nd,file,url
Africa,digital only,disbursed,100,0,treemap_africa_dig_disb.html,https://viz.aiworld.eu/AID/treemap_africa_dig_disb.html
Africa,digital only,committed,100,0,treemap_africa_dig_commit.html,https://viz.aiworld.eu/AID/treemap_africa_dig_commit.html
Africa,incl. non-digital,disbursed,100,1,treemap_africa_all_disb.html,https://viz.aiworld.eu/AID/treemap_africa_all_disb.html
Africa,incl. non-digital,committed,100,1,treemap_africa_all_commit.html,https://viz.aiworld.eu/AID/treemap_africa_all_commit.html
Asia,digital only,disbursed,100,0,treemap_asia_dig_disb.html,https://viz.aiworld.eu/AID/treemap_asia_dig_disb.html
Asia,digital only,committed,100,0,treemap_asia_dig_commit.html,https://viz.aiworld.eu/AID/treemap_asia_dig_commit.html
Asia,incl. non-digital,disbursed,100,1,treemap_asia_all_disb.html,https://viz.aiworld.eu/AID/treemap_asia_all_disb.html
Asia,incl. non-digital,committed,100,1,treemap_asia_all_commit.html,https://viz.aiworld.eu/AID/treemap_asia_all_commit.html
Pacific,digital only,disbursed,100,0,treemap_pacific_dig_disb.html,https://viz.aiworld.eu/AID/treemap_pacific_dig_disb.html
Pacific,digital only,committed,100,0,treemap_pacific_dig_commit.html,https://viz.aiworld.eu/AID/treemap_pacific_dig_commit.html
Pacific,incl. non-digital,disbursed,100,1,treemap_pacific_all_disb.html,https://viz.aiworld.eu/AID/treemap_pacific_all_disb.html
Pacific,incl. non-digital,committed,100,1,treemap_pacific_all_commit.html,https://viz.aiworld.eu/AID/treemap_pacific_all_commit.html
Spain,digital only,disbursed,100,0,treemap_spain_dig_disb.html,https://viz.aiworld.eu/AID/treemap_spain_dig_disb.html
Spain,digital only,committed,100,0,treemap_spain_dig_commit.html,https://viz.aiworld.eu/AID/treemap_spain_dig_commit.html
Spain,incl. non-digital,disbursed,100,1,treemap_spain_all_disb.html,https://viz.aiworld.eu/AID/treemap_spain_all_disb.html
Spain,incl. non-digital,committed,100,1,treemap_spain_all_commit.html,https://viz.aiworld.eu/AID/treemap_spain_all_commit.html
